"State","hitdiffs","date_end","anxdiffs"
"HI",8,2020-11-08,1.06187619269
"HI",-24,2020-11-15,-0.74097281683014
"HI",12,2020-11-22,-1.04144765175016
"HI",10,2020-11-29,-0.280941446075939
"HI",-10,2020-12-06,-0.154190411796902
"HI",15,2020-12-13,0.131261431856264
"HI",-6,2020-12-20,0.178836739131791
"HI",9,2020-12-27,-0.031514002019392
"HI",5,2021-01-03,-0.066572458877923
"HI",-3,2021-01-10,-0.0665724588779231
"HI",1,2021-01-17,-0.066572458877923
"HI",-10,2021-01-24,0.153681854709906
"HI",5,2021-01-31,0.190390906974545
"HI",-7,2021-02-07,-0.052506073612719
"HI",-2,2021-02-14,-0.0929889037105961
"HI",-10,2021-02-21,-0.0887351012042159
"HI",13,2021-02-28,-0.08802613411982
"HI",4,2021-03-07,-0.034096005819859
"HI",-1,2021-03-14,-0.025107651103199
"HI",3,2021-03-21,0.000645504079852977
"HI",8,2021-03-28,0.00493769661036103
"IA",-8,2020-05-17,-0.012275498668257
"IA",-8,2020-05-24,-0.027442631789803
"IA",-5,2020-05-31,0.495569360317577
"IA",-4,2020-06-07,0.00967596410558802
"IA",-5,2020-06-14,-0.0337299750918321
"IA",-10,2020-06-21,0.450566077295582
"IA",15,2020-06-28,-0.12079672238606
"IA",6,2020-07-05,-0.308001245820004
"IA",-7,2020-07-12,-0.286054174523357
"IA",-6,2020-07-19,0.00670632269470206
"IA",7,2020-07-26,0.04632114354969
"IA",4,2020-08-02,0.014090416432771
"IA",-18,2020-08-09,0.0140904164327701
"IA",-8,2020-08-16,0.014090416432771
"IA",10,2020-08-23,0.014090416432771
"IA",17,2020-08-30,0.014090416432771
"IA",6,2020-09-06,0.030023816129738
"IA",-9,2020-09-13,0.0326793827459
"IA",-11,2020-09-20,0.054244624537239
"IA",11,2020-09-27,0.0578388315024639
"IA",-17,2020-10-04,-0.021297608430784
"IA",1,2020-10-11,-0.034487015086324
"IA",-1,2020-10-18,0.025448173367845
"IA",5,2020-10-25,0.0354373714435401
"IA",4,2020-11-01,0.540227587295237
"IA",25,2020-11-08,0.62435928993719
"IA",-24,2020-11-15,-0.40313629257759
"IA",4,2020-11-22,-0.57438555633006
"IA",-4,2020-11-29,-0.0535794726246629
"IA",-7,2020-12-06,0.033221541326231
"IA",1,2020-12-13,0.194221886323662
"IA",0,2020-12-20,0.22105527715657
"IA",-3,2020-12-27,-0.16273656005397
"IA",3,2021-01-03,-0.22670186625573
"IA",-5,2021-01-10,-0.226701866255733
"IA",-2,2021-01-17,-0.226701866255729
"IA",9,2021-01-24,0.258631908394512
"IA",-7,2021-01-31,0.33952087083622
"IA",21,2021-02-07,-0.15430197474053
"IA",-13,2021-02-14,-0.236605782336652
"IA",-12,2021-02-21,-0.090365591789377
"IA",5,2021-02-28,-0.065992226698164
"IA",4,2021-03-07,0.0781888502014999
"IA",19,2021-03-14,0.102219029684776
"IA",-19,2021-03-21,-0.068998442372459
"IA",2,2021-03-28,-0.097534687715332
"ID",8,2020-05-17,0.184675929273679
"ID",-8,2020-05-24,-0.075045057884141
"ID",-9,2020-05-31,0.306799092303041
"ID",2,2020-06-07,0.00372985097675405
"ID",-4,2020-06-14,-0.172505917733916
